Program Year,Program,SFA ID,SFA Name,Claim Date,Meal Type,Number of Sites/Centers/Providers,Total Enrolled,Number of Operating/Serving Days,Free Meals Served,Reduced Price Meals Served,Paid Meals Served,Total Meals Served,Non-Program Adult Meals,Average Daily Attendance (ADA)
2019 - 2020,School Nutrition Programs,127,Suffolk City Public Schools,12/01/2019,1. Breakfast,5,"4,056",15,"6,764","1,239","8,006","16,009",,"3,854"
2019 - 2020,School Nutrition Programs,127,Suffolk City Public Schools,12/01/2019,3. Lunch,20,"14,391",15,"71,906","6,464","47,340","125,710",,"13,673"
2019 - 2020,School Nutrition Programs,127,Suffolk City Public Schools,01/01/2020,1. Breakfast,15,"10,367",19,"67,431","3,546","22,364","93,341",,"9,847"
2019 - 2020,School Nutrition Programs,127,Suffolk City Public Schools,01/01/2020,1. Breakfast,5,"4,077",19,"9,667","1,412","9,745","20,824",,"3,873"
2019 - 2020,School Nutrition Programs,127,Suffolk City Public Schools,01/01/2020,3. Lunch,20,"14,444",19,"95,020","7,765","57,145","159,930",,"13,720"
2019 - 2020,School Nutrition Programs,127,Suffolk City Public Schools,02/01/2020,1. Breakfast,15,"10,263",18,"64,340","3,392","20,953","88,685",,"9,572"
2019 - 2020,School Nutrition Programs,127,Suffolk City Public Schools,02/01/2020,1. Breakfast,5,"4,076",18,"9,469","1,293","9,060","19,822",,"3,859"
2019 - 2020,School Nutrition Programs,127,Suffolk City Public Schools,02/01/2020,3. Lunch,20,"14,339",18,"91,600","7,280","53,708","152,588",,"13,431"
2019 - 2020,School Nutrition Programs,127,Suffolk City Public Schools,03/01/2020,1. Breakfast,15,"10,268",9,"31,945","1,699","10,927","44,571",,"9,504"
2019 - 2020,School Nutrition Programs,127,Suffolk City Public Schools,03/01/2020,1. Breakfast,5,"4,083",9,"4,935",594,"4,972","10,501",,"3,857"
2019 - 2020,School Nutrition Programs,127,Suffolk City Public Schools,03/01/2020,3. Lunch,20,"14,351",9,"45,801","3,510","26,049","75,360",,"13,361"
2019 - 2020,School Nutrition Programs,128,Virginia Beach City Public Schools,09/01/2019,1. Breakfast,13,"10,905",19,"4,035","1,684","4,856","10,575",,"10,632"
2019 - 2020,School Nutrition Programs,128,Virginia Beach City Public Schools,09/01/2019,1. Breakfast,70,"57,839",19,"180,725","33,042","60,548","274,315",,"55,348"
2019 - 2020,School Nutrition Programs,128,Virginia Beach City Public Schools,09/01/2019,3. Lunch,83,"68,744",19,"281,014","67,772","199,404","548,190",,"65,980"
2019 - 2020,School Nutrition Programs,128,Virginia Beach City Public Schools,10/01/2019,1. Breakfast,13,"10,929",22,"5,671","2,531","8,523","16,725",,"10,584"
2019 - 2020,School Nutrition Programs,128,Virginia Beach City Public Schools,10/01/2019,1. Breakfast,70,"57,843",22,"235,571","44,428","87,627","367,626",,"55,196"
2019 - 2020,School Nutrition Programs,128,Virginia Beach City Public Schools,10/01/2019,3. Lunch,83,"68,772",22,"338,190","81,848","263,699","683,737",,"65,780"
2019 - 2020,School Nutrition Programs,128,Virginia Beach City Public Schools,11/01/2019,1. Breakfast,13,"10,928",17,"4,494","1,917","7,254","13,665",,"10,418"
2019 - 2020,School Nutrition Programs,128,Virginia Beach City Public Schools,11/01/2019,1. Breakfast,70,"57,782",17,"178,692","34,093","68,669","281,454",,"54,030"
2019 - 2020,School Nutrition Programs,128,Virginia Beach City Public Schools,11/01/2019,3. Lunch,83,"68,710",17,"256,959","62,539","211,645","531,143",,"64,448"
2019 - 2020,School Nutrition Programs,128,Virginia Beach City Public Schools,12/01/2019,1. Breakfast,13,"10,918",15,"4,021","1,584","5,927","11,532",,"10,292"
2019 - 2020,School Nutrition Programs,128,Virginia Beach City Public Schools,12/01/2019,1. Breakfast,70,"57,717",15,"153,446","29,130","57,253","239,829",,"53,406"
2019 - 2020,School Nutrition Programs,128,Virginia Beach City Public Schools,12/01/2019,3. Lunch,83,"68,635",15,"225,259","55,056","185,428","465,743",,"63,698"
2019 - 2020,School Nutrition Programs,128,Virginia Beach City Public Schools,01/01/2020,1. Breakfast,13,"10,945",20,"5,993","2,151","8,277","16,421",,"10,455"
2019 - 2020,School Nutrition Programs,128,Virginia Beach City Public Schools,01/01/2020,1. Breakfast,70,"57,774",20,"213,923","36,238","72,779","322,940",,"54,112"
2019 - 2020,School Nutrition Programs,128,Virginia Beach City Public Schools,01/01/2020,3. Lunch,83,"68,719",20,"321,994","69,713","239,432","631,139",,"64,567"
2019 - 2020,School Nutrition Programs,128,Virginia Beach City Public Schools,02/01/2020,1. Breakfast,13,"10,940",19,"5,528","1,879","7,866","15,273",,"10,368"
2019 - 2020,School Nutrition Programs,128,Virginia Beach City Public Schools,02/01/2020,1. Breakfast,70,"57,736",19,"202,611","34,081","68,500","305,192",,"53,965"
2019 - 2020,School Nutrition Programs,128,Virginia Beach City Public Schools,02/01/2020,3. Lunch,83,"68,676",19,"306,958","65,754","228,505","601,217",,"64,333"
2019 - 2020,School Nutrition Programs,128,Virginia Beach City Public Schools,03/01/2020,1. Breakfast,13,"10,943",9,"2,848","1,030","4,029","7,907",,"10,489"
2019 - 2020,School Nutrition Programs,128,Virginia Beach City Public Schools,03/01/2020,1. Breakfast,70,"57,757",9,"96,666","16,224","33,282","146,172",,"54,337"
2019 - 2020,School Nutrition Programs,128,Virginia Beach City Public Schools,03/01/2020,3. Lunch,83,"68,700",10,"145,147","31,094","109,406","285,647",,"64,826"
2019 - 2020,School Nutrition Programs,13,Brunswick County Public Schools,09/01/2019,1. Breakfast,5,"1,548",20,"13,472",0,315,"13,787",,"1,389"
2019 - 2020,School Nutrition Programs,13,Brunswick County Public Schools,09/01/2019,3. Lunch,5,"1,548",20,"22,057",0,518,"22,575",,"1,389"
2019 - 2020,School Nutrition Programs,13,Brunswick County Public Schools,10/01/2019,1. Breakfast,5,"1,547",23,"17,018",0,399,"17,417",,"1,407"
2019 - 2020,School Nutrition Programs,13,Brunswick County Public Schools,10/01/2019,3. Lunch,5,"1,547",23,"25,734",0,603,"26,337",,"1,407"
2019 - 2020,School Nutrition Programs,13,Brunswick County Public Schools,11/01/2019,1. Breakfast,5,"1,536",17,"12,337",0,290,"12,627",,"1,390"
2019 - 2020,School Nutrition Programs,13,Brunswick County Public Schools,11/01/2019,3. Lunch,5,"1,536",17,"18,644",0,437,"19,081",,"1,390"
2019 - 2020,School Nutrition Programs,13,Brunswick County Public Schools,12/01/2019,1. Breakfast,5,"1,543",15,"9,713",0,229,"9,942",,"1,392"
2019 - 2020,School Nutrition Programs,13,Brunswick County Public Schools,12/01/2019,3. Lunch,5,"1,543",15,"16,113",0,377,"16,490",,"1,392"
2019 - 2020,School Nutrition Programs,13,Brunswick County Public Schools,01/01/2020,1. Breakfast,5,"1,542",18,"10,979",0,257,"11,236",,"1,393"
2019 - 2020,School Nutrition Programs,13,Brunswick County Public Schools,01/01/2020,3. Lunch,5,"1,542",18,"18,787",0,441,"19,228",,"1,393"
2019 - 2020,School Nutrition Programs,13,Brunswick County Public Schools,02/01/2020,1. Breakfast,5,"1,529",16,"8,430",0,197,"8,627",,"1,330"
2019 - 2020,School Nutrition Programs,13,Brunswick County Public Schools,02/01/2020,3. Lunch,5,"1,529",16,"15,721",0,369,"16,090",,"1,330"
2019 - 2020,School Nutrition Programs,13,Brunswick County Public Schools,03/01/2020,1. Breakfast,5,"1,528",9,"5,685",0,133,"5,818",,"1,405"
2019 - 2020,School Nutrition Programs,13,Brunswick County Public Schools,03/01/2020,3. Lunch,5,"1,528",9,"9,475",0,221,"9,696",,"1,405"
2019 - 2020,School Nutrition Programs,130,Waynesboro City Public Schools,09/01/2019,1. Breakfast,7,"3,053",19,"19,828","1,636","8,716","30,180",,"2,880"
2019 - 2020,School Nutrition Programs,130,Waynesboro City Public Schools,09/01/2019,3. Lunch,7,"3,053",19,"24,632","2,176","8,385","35,193",,"2,880"
2019 - 2020,School Nutrition Programs,130,Waynesboro City Public Schools,09/01/2019,4. PM Snack,1,203,19,"3,364",0,0,"3,364",,184
2019 - 2020,School Nutrition Programs,130,Waynesboro City Public Schools,10/01/2019,1. Breakfast,7,"3,054",22,"22,733","1,811","11,228","35,772",,"2,933"
2019 - 2020,School Nutrition Programs,130,Waynesboro City Public Schools,10/01/2019,3. Lunch,7,"3,054",22,"27,660","2,397","10,428","40,485",,"2,933"
2019 - 2020,School Nutrition Programs,130,Waynesboro City Public Schools,10/01/2019,4. PM Snack,1,204,22,"3,694",0,0,"3,694",,189
2019 - 2020,School Nutrition Programs,130,Waynesboro City Public Schools,11/01/2019,1. Breakfast,7,"3,050",17,"18,297","1,547","8,054","27,898",,"2,918"
2019 - 2020,School Nutrition Programs,130,Waynesboro City Public Schools,11/01/2019,3. Lunch,7,"3,050",17,"22,312","2,025","7,406","31,743",,"2,918"
2019 - 2020,School Nutrition Programs,130,Waynesboro City Public Schools,11/01/2019,4. PM Snack,1,204,17,"2,775",0,0,"2,775",,181
2019 - 2020,School Nutrition Programs,130,Waynesboro City Public Schools,12/01/2019,1. Breakfast,7,"3,060",14,"13,474","1,078","5,630","20,182",,"2,892"
2019 - 2020,School Nutrition Programs,130,Waynesboro City Public Schools,12/01/2019,3. Lunch,7,"3,060",14,"16,353","1,429","5,113","22,895",,"2,892"
2019 - 2020,School Nutrition Programs,130,Waynesboro City Public Schools,12/01/2019,4. PM Snack,1,204,14,"1,919",0,0,"1,919",,186
2019 - 2020,School Nutrition Programs,130,Waynesboro City Public Schools,01/01/2020,1. Breakfast,7,"3,075",19,"17,298","1,421","6,950","25,669",,"2,883"
2019 - 2020,School Nutrition Programs,130,Waynesboro City Public Schools,01/01/2020,3. Lunch,7,"3,075",19,"22,775","2,130","6,743","31,648",,"2,883"
2019 - 2020,School Nutrition Programs,130,Waynesboro City Public Schools,01/01/2020,4. PM Snack,1,201,19,"2,795",0,0,"2,795",,183
2019 - 2020,School Nutrition Programs,130,Waynesboro City Public Schools,02/01/2020,1. Breakfast,7,"3,071",20,"20,008","1,626","7,758","29,392",,"2,860"
2019 - 2020,School Nutrition Programs,130,Waynesboro City Public Schools,02/01/2020,3. Lunch,7,"3,071",20,"25,310","2,242","6,871","34,423",,"2,860"
2019 - 2020,School Nutrition Programs,130,Waynesboro City Public Schools,02/01/2020,4. PM Snack,1,202,20,"2,923",0,0,"2,923",,179
2019 - 2020,School Nutrition Programs,130,Waynesboro City Public Schools,03/01/2020,1. Breakfast,7,"3,074",10,"10,198",861,"3,976","15,035",,"2,672"
2019 - 2020,School Nutrition Programs,130,Waynesboro City Public Schools,03/01/2020,3. Lunch,7,"3,074",10,"12,866","1,151","3,589","17,606",,"2,672"
2019 - 2020,School Nutrition Programs,130,Waynesboro City Public Schools,03/01/2020,4. PM Snack,1,200,10,"1,279",0,0,"1,279",,189
2019 - 2020,School Nutrition Programs,131,Williamsburg-James City County Public Schools,09/01/2019,1. Breakfast,1,536,19,"1,221",133,119,"1,473",,516
2019 - 2020,School Nutrition Programs,131,Williamsburg-James City County Public Schools,09/01/2019,1. Breakfast,15,"11,311",19,"17,082","2,485","4,058","23,625",,"10,887"
2019 - 2020,School Nutrition Programs,131,Williamsburg-James City County Public Schools,09/01/2019,3. Lunch,16,"11,847",19,"39,164","6,801","23,556","69,521",,"11,403"
2019 - 2020,School Nutrition Programs,131,Williamsburg-James City County Public Schools,10/01/2019,1. Breakfast,1,539,23,"1,718",235,203,"2,156",,515
2019 - 2020,School Nutrition Programs,131,Williamsburg-James City County Public Schools,10/01/2019,1. Breakfast,15,"11,324",23,"25,246","3,472","6,147","34,865",,"10,843"
2019 - 2020,School Nutrition Programs,131,Williamsburg-James City County Public Schools,10/01/2019,3. Lunch,16,"11,863",23,"49,655","8,586","31,572","89,813",,"11,358"
2019 - 2020,School Nutrition Programs,131,Williamsburg-James City County Public Schools,10/01/2019,4. PM Snack,1,105,2,193,0,0,193,,97
2019 - 2020,School Nutrition Programs,131,Williamsburg-James City County Public Schools,10/01/2019,4. PM Snack,12,"1,340",7,871,220,"1,893","2,984",,"1,053"
2019 - 2020,School Nutrition Programs,131,Williamsburg-James City County Public Schools,11/01/2019,1. Breakfast,1,538,17,"1,357",179,148,"1,684",,509
2019 - 2020,School Nutrition Programs,131,Williamsburg-James City County Public Schools,11/01/2019,1. Breakfast,15,"11,348",17,"18,385","2,386","4,316","25,087",,"10,738"
2019 - 2020,School Nutrition Programs,131,Williamsburg-James City County Public Schools,11/01/2019,3. Lunch,16,"11,886",17,"37,811","6,245","24,551","68,607",,"11,247"
2019 - 2020,School Nutrition Programs,131,Williamsburg-James City County Public Schools,11/01/2019,4. PM Snack,1,106,4,371,0,0,371,,93
2019 - 2020,School Nutrition Programs,131,Williamsburg-James City County Public Schools,11/01/2019,4. PM Snack,12,"1,335",8,907,202,"1,792","2,901",,964
2019 - 2020,School Nutrition Programs,131,Williamsburg-James City County Public Schools,12/01/2019,1. Breakfast,1,536,15,"1,322",173,162,"1,657",,512
2019 - 2020,School Nutrition Programs,131,Williamsburg-James City County Public Schools,12/01/2019,1. Breakfast,15,"11,308",15,"16,615","1,902","3,704","22,221",,"10,655"
2019 - 2020,School Nutrition Programs,131,Williamsburg-James City County Public Schools,12/01/2019,3. Lunch,16,"11,844",15,"34,665","5,329","21,919","61,913",,"11,167"
2019 - 2020,School Nutrition Programs,131,Williamsburg-James City County Public Schools,12/01/2019,4. PM Snack,1,105,2,182,0,0,182,,91
2019 - 2020,School Nutrition Programs,131,Williamsburg-James City County Public Schools,12/01/2019,4. PM Snack,12,"1,320",6,609,149,"1,347","2,105",,988
2019 - 2020,School Nutrition Programs,131,Williamsburg-James City County Public Schools,01/01/2020,1. Breakfast,1,536,17,"1,367",174,142,"1,683",,504
2019 - 2020,School Nutrition Programs,131,Williamsburg-James City County Public Schools,01/01/2020,1. Breakfast,15,"11,373",17,"17,892","2,121","3,997","24,010",,"10,734"
2019 - 2020,School Nutrition Programs,131,Williamsburg-James City County Public Schools,01/01/2020,3. Lunch,16,"11,909",17,"38,139","5,857","23,861","67,857",,"11,238"
2019 - 2020,School Nutrition Programs,131,Williamsburg-James City County Public Schools,02/01/2020,1. Breakfast,1,535,18,"1,498",132,168,"1,798",,504
2019 - 2020,School Nutrition Programs,131,Williamsburg-James City County Public Schools,02/01/2020,1. Breakfast,15,"11,373",18,"19,414","2,122","4,270","25,806",,"10,641"
2019 - 2020,School Nutrition Programs,131,Williamsburg-James City County Public Schools,02/01/2020,3. Lunch,16,"11,908",18,"42,472","5,793","25,734","73,999",,"11,145"
2019 - 2020,School Nutrition Programs,131,Williamsburg-James City County Public Schools,02/01/2020,4. PM Snack,1,125,1,113,0,0,113,,113
2019 - 2020,School Nutrition Programs,131,Williamsburg-James City County Public Schools,02/01/2020,4. PM Snack,11,"1,124",3,515,112,"1,022","1,649",,981
2019 - 2020,School Nutrition Programs,131,Williamsburg-James City County Public Schools,03/01/2020,1. Breakfast,1,534,10,860,72,104,"1,036",,502
2019 - 2020,School Nutrition Programs,131,Williamsburg-James City County Public Schools,03/01/2020,1. Breakfast,15,"11,425",10,"9,703","1,008","2,203","12,914",,"10,618"
2019 - 2020,School Nutrition Programs,131,Williamsburg-James City County Public Schools,03/01/2020,3. Lunch,16,"11,959",10,"21,528","2,976","13,103","37,607",,"11,120"
2019 - 2020,School Nutrition Programs,131,Williamsburg-James City County Public Schools,03/01/2020,4. PM Snack,1,131,2,228,0,0,228,,114
2019 - 2020,School Nutrition Programs,131,Williamsburg-James City County Public Schools,03/01/2020,4. PM Snack,11,"1,139",3,671,132,"1,220","2,023",,955
2019 - 2020,School Nutrition Programs,132,Winchester City Public Schools,09/01/2019,1. Breakfast,7,"4,369",20,"27,577",990,"5,447","34,014",,"4,145"
2019 - 2020,School Nutrition Programs,132,Winchester City Public Schools,09/01/2019,3. Lunch,7,"4,369",20,"42,296","2,783","11,165","56,244",,"4,145"
2019 - 2020,School Nutrition Programs,132,Winchester City Public Schools,10/01/2019,1. Breakfast,7,"4,371",21,"28,543","1,082","5,658","35,283",,"4,150"
2019 - 2020,School Nutrition Programs,132,Winchester City Public Schools,10/01/2019,3. Lunch,7,"4,371",21,"44,000","2,769","12,208","58,977",,"4,150"
2019 - 2020,School Nutrition Programs,132,Winchester City Public Schools,11/01/2019,1. Breakfast,7,"4,353",17,"23,297",919,"4,402","28,618",,"4,102"
2019 - 2020,School Nutrition Programs,132,Winchester City Public Schools,11/01/2019,3. Lunch,7,"4,353",17,"36,029","2,351","9,534","47,914",,"4,102"
2019 - 2020,School Nutrition Programs,132,Winchester City Public Schools,12/01/2019,1. Breakfast,7,"4,352",13,"16,104",576,"3,037","19,717",,"4,064"
2019 - 2020,School Nutrition Programs,132,Winchester City Public Schools,12/01/2019,3. Lunch,7,"4,352",13,"26,693","1,709","6,897","35,299",,"4,064"
2019 - 2020,School Nutrition Programs,132,Winchester City Public Schools,01/01/2020,1. Breakfast,7,"4,348",16,"19,444",693,"3,619","23,756",,"4,009"
2019 - 2020,School Nutrition Programs,132,Winchester City Public Schools,01/01/2020,3. Lunch,7,"4,348",16,"31,950","2,062","8,259","42,271",,"4,009"
2019 - 2020,School Nutrition Programs,132,Winchester City Public Schools,02/01/2020,1. Breakfast,7,"4,345",19,"23,738",819,"4,319","28,876",,"4,037"
2019 - 2020,School Nutrition Programs,132,Winchester City Public Schools,02/01/2020,3. Lunch,7,"4,345",19,"38,955","2,523","9,872","51,350",,"4,037"
2019 - 2020,School Nutrition Programs,132,Winchester City Public Schools,03/01/2020,1. Breakfast,7,"4,339",9,"11,054",375,"1,969","13,398",,"4,025"
2019 - 2020,School Nutrition Programs,132,Winchester City Public Schools,03/01/2020,3. Lunch,7,"4,339",9,"18,551","1,192","4,630","24,373",,"4,025"
2019 - 2020,School Nutrition Programs,135,Franklin City Public Schools,09/01/2019,1. Breakfast,3,"1,087",19,"15,334",0,0,"15,334",,997
2019 - 2020,School Nutrition Programs,135,Franklin City Public Schools,09/01/2019,3. Lunch,3,"1,087",19,"13,248",0,0,"13,248",,997
2019 - 2020,School Nutrition Programs,135,Franklin City Public Schools,09/01/2019,4. PM Snack,3,"1,087",19,"7,274",0,0,"7,274",,997
2019 - 2020,School Nutrition Programs,135,Franklin City Public Schools,10/01/2019,1. Breakfast,3,"1,090",23,"20,039",0,0,"20,039",,"1,035"
2019 - 2020,School Nutrition Programs,135,Franklin City Public Schools,10/01/2019,3. Lunch,3,"1,090",23,"17,024",0,0,"17,024",,"1,035"
2019 - 2020,School Nutrition Programs,135,Franklin City Public Schools,10/01/2019,4. PM Snack,3,"1,090",23,"10,522",0,0,"10,522",,"1,035"
2019 - 2020,School Nutrition Programs,135,Franklin City Public Schools,11/01/2019,1. Breakfast,3,"1,090",16,"12,502",0,0,"12,502",,"1,035"
2019 - 2020,School Nutrition Programs,135,Franklin City Public Schools,11/01/2019,3. Lunch,3,"1,090",16,"12,219",0,0,"12,219",,"1,035"
2019 - 2020,School Nutrition Programs,135,Franklin City Public Schools,11/01/2019,4. PM Snack,3,"1,090",16,"13,425",0,0,"13,425",,"1,035"
2019 - 2020,School Nutrition Programs,135,Franklin City Public Schools,12/01/2019,1. Breakfast,3,"1,097",15,"11,747",0,0,"11,747",,"1,035"
2019 - 2020,School Nutrition Programs,135,Franklin City Public Schools,12/01/2019,3. Lunch,3,"1,097",15,"11,343",0,0,"11,343",,"1,035"
2019 - 2020,School Nutrition Programs,135,Franklin City Public Schools,12/01/2019,4. PM Snack,3,"1,097",15,"12,920",0,0,"12,920",,"1,035"
2019 - 2020,School Nutrition Programs,135,Franklin City Public Schools,01/01/2020,1. Breakfast,3,"1,096",18,"15,514",0,0,"15,514",,"1,040"
2019 - 2020,School Nutrition Programs,135,Franklin City Public Schools,01/01/2020,3. Lunch,3,"1,096",18,"12,660",0,0,"12,660",,"1,040"
2019 - 2020,School Nutrition Programs,135,Franklin City Public Schools,01/01/2020,4. PM Snack,3,"1,096",18,"15,291",0,0,"15,291",,"1,040"
2019 - 2020,School Nutrition Programs,135,Franklin City Public Schools,02/01/2020,1. Breakfast,3,"1,095",19,"16,993",0,0,"16,993",,"1,044"
2019 - 2020,School Nutrition Programs,135,Franklin City Public Schools,02/01/2020,3. Lunch,3,"1,095",19,"14,217",0,0,"14,217",,"1,044"
2019 - 2020,School Nutrition Programs,135,Franklin City Public Schools,02/01/2020,4. PM Snack,3,"1,095",19,"17,658",0,0,"17,658",,"1,044"
2019 - 2020,School Nutrition Programs,135,Franklin City Public Schools,03/01/2020,1. Breakfast,3,"1,083",10,"8,516",0,0,"8,516",,"1,029"
2019 - 2020,School Nutrition Programs,135,Franklin City Public Schools,03/01/2020,3. Lunch,3,"1,083",10,"7,389",0,0,"7,389",,"1,029"
2019 - 2020,School Nutrition Programs,135,Franklin City Public Schools,03/01/2020,4. PM Snack,3,"1,083",10,"8,653",0,0,"8,653",,"1,029"
2019 - 2020,School Nutrition Programs,136,Chesapeake City Public Schools,09/01/2019,1. Breakfast,13,"12,840",19,"4,107",769,"4,832","9,708",,"12,201"
2019 - 2020,School Nutrition Programs,136,Chesapeake City Public Schools,09/01/2019,1. Breakfast,34,"27,693",19,"103,824","6,464","26,334","136,622",,"26,253"
2019 - 2020,School Nutrition Programs,136,Chesapeake City Public Schools,09/01/2019,3. Lunch,47,"40,453",19,"148,999","14,652","87,687","251,338",,"38,377"
2019 - 2020,School Nutrition Programs,136,Chesapeake City Public Schools,09/01/2019,4. PM Snack,1,55,6,195,0,0,195,,52
2019 - 2020,School Nutrition Programs,136,Chesapeake City Public Schools,10/01/2019,1. Breakfast,13,"12,836",23,"6,505","1,233","7,867","15,605",,"12,106"
2019 - 2020,School Nutrition Programs,136,Chesapeake City Public Schools,10/01/2019,1. Breakfast,34,"27,543",23,"141,465","10,287","35,352","187,104",,"26,101"
2019 - 2020,School Nutrition Programs,136,Chesapeake City Public Schools,10/01/2019,3. Lunch,47,"40,423",23,"197,771","20,961","117,794","336,526",,"38,175"
2019 - 2020,School Nutrition Programs,136,Chesapeake City Public Schools,10/01/2019,4. PM Snack,1,55,22,996,0,0,996,,52
2019 - 2020,School Nutrition Programs,136,Chesapeake City Public Schools,11/01/2019,1. Breakfast,13,"12,827",17,"4,748",831,"5,847","11,426",,"12,185"
2019 - 2020,School Nutrition Programs,136,Chesapeake City Public Schools,11/01/2019,1. Breakfast,34,"27,472",17,"102,367","7,358","26,197","135,922",,"26,058"
2019 - 2020,School Nutrition Programs,136,Chesapeake City Public Schools,11/01/2019,3. Lunch,47,"40,283",17,"143,648","15,646","88,334","247,628",,"37,927"
2019 - 2020,School Nutrition Programs,136,Chesapeake City Public Schools,11/01/2019,4. PM Snack,2,134,17,665,0,0,665,,121
2019 - 2020,School Nutrition Programs,136,Chesapeake City Public Schools,12/01/2019,1. Breakfast,13,"12,784",15,"4,147",702,"5,021","9,870",,"12,144"
2019 - 2020,School Nutrition Programs,136,Chesapeake City Public Schools,12/01/2019,1. Breakfast,34,"27,392",15,"87,575","6,210","21,712","115,497",,"25,829"
2019 - 2020,School Nutrition Programs,136,Chesapeake City Public Schools,12/01/2019,3. Lunch,47,"40,159",15,"129,344","13,383","78,859","221,586",,"37,956"
2019 - 2020,School Nutrition Programs,136,Chesapeake City Public Schools,12/01/2019,4. PM Snack,2,262,10,890,0,0,890,,247
2019 - 2020,School Nutrition Programs,136,Chesapeake City Public Schools,01/01/2020,1. Breakfast,13,"12,813",20,"5,775",960,"6,760","13,495",,"12,174"
2019 - 2020,School Nutrition Programs,136,Chesapeake City Public Schools,01/01/2020,1. Breakfast,34,"27,326",20,"116,358","8,097","28,288","152,743",,"25,923"
2019 - 2020,School Nutrition Programs,136,Chesapeake City Public Schools,01/01/2020,3. Lunch,47,"49,975",20,"175,790","17,870","100,854","294,514",,"38,081"
2019 - 2020,School Nutrition Programs,136,Chesapeake City Public Schools,01/01/2020,4. PM Snack,3,287,19,"1,798",0,0,"1,798",,232
2019 - 2020,School Nutrition Programs,136,Chesapeake City Public Schools,02/01/2020,1. Breakfast,13,"12,951",18,"5,570",967,"6,800","13,337",,"12,099"
2019 - 2020,School Nutrition Programs,136,Chesapeake City Public Schools,02/01/2020,1. Breakfast,34,"27,270",18,"108,496","7,540","26,125","142,161",,"25,872"
2019 - 2020,School Nutrition Programs,136,Chesapeake City Public Schools,02/01/2020,3. Lunch,47,"40,221",18,"163,244","16,258","91,920","271,422",,"37,971"
2019 - 2020,School Nutrition Programs,136,Chesapeake City Public Schools,02/01/2020,4. PM Snack,3,320,9,"1,348",0,0,"1,348",,238
2019 - 2020,School Nutrition Programs,136,Chesapeake City Public Schools,03/01/2020,1. Breakfast,13,"12,950",9,"2,903",454,"3,436","6,793",,"12,234"
2019 - 2020,School Nutrition Programs,136,Chesapeake City Public Schools,03/01/2020,1. Breakfast,34,"27,247",9,"53,033","3,699","13,252","69,984",,"25,850"
2019 - 2020,School Nutrition Programs,136,Chesapeake City Public Schools,03/01/2020,3. Lunch,47,"40,197",9,"81,062","7,798","45,566","134,426",,"38,010"
2019 - 2020,School Nutrition Programs,136,Chesapeake City Public Schools,03/01/2020,4. PM Snack,2,175,5,183,0,0,183,,97
2019 - 2020,School Nutrition Programs,137,Lexington City Public Schools,09/01/2019,1. Breakfast,2,504,20,460,62,217,739,,479
2019 - 2020,School Nutrition Programs,137,Lexington City Public Schools,09/01/2019,3. Lunch,2,504,20,"1,159",203,"1,754","3,116",,479
2019 - 2020,School Nutrition Programs,137,Lexington City Public Schools,10/01/2019,1. Breakfast,2,500,21,490,48,233,771,,475
2019 - 2020,School Nutrition Programs,137,Lexington City Public Schools,10/01/2019,3. Lunch,2,500,21,"1,229",174,"2,051","3,454",,475
2019 - 2020,School Nutrition Programs,137,Lexington City Public Schools,11/01/2019,1. Breakfast,2,504,18,460,40,199,699,,479
2019 - 2020,School Nutrition Programs,137,Lexington City Public Schools,11/01/2019,3. Lunch,2,504,18,"1,162",127,"1,853","3,142",,479
2019 - 2020,School Nutrition Programs,137,Lexington City Public Schools,12/01/2019,1. Breakfast,2,505,15,360,23,133,516,,480
2019 - 2020,School Nutrition Programs,137,Lexington City Public Schools,12/01/2019,3. Lunch,2,505,15,"1,045",77,"1,581","2,703",,480
2019 - 2020,School Nutrition Programs,137,Lexington City Public Schools,01/01/2020,1. Breakfast,2,510,18,439,14,151,604,,485
2019 - 2020,School Nutrition Programs,137,Lexington City Public Schools,01/01/2020,3. Lunch,2,510,18,"1,288",100,"1,815","3,203",,485
2019 - 2020,School Nutrition Programs,137,Lexington City Public Schools,02/01/2020,1. Breakfast,2,511,19,510,16,225,751,,486
2019 - 2020,School Nutrition Programs,137,Lexington City Public Schools,02/01/2020,3. Lunch,2,511,19,"1,446",107,"1,890","3,443",,486
2019 - 2020,School Nutrition Programs,137,Lexington City Public Schools,03/01/2020,1. Breakfast,2,511,10,266,8,137,411,,486
2019 - 2020,School Nutrition Programs,137,Lexington City Public Schools,03/01/2020,3. Lunch,2,511,10,731,72,"1,036","1,839",,486
2019 - 2020,School Nutrition Programs,139,Salem City Public Schools,09/01/2019,1. Breakfast,6,"3,963",20,"8,927","1,552","3,294","13,773",,"3,794"
2019 - 2020,School Nutrition Programs,139,Salem City Public Schools,09/01/2019,3. Lunch,6,"3,963",20,"18,722","3,679","18,106","40,507",,"3,794"
2019 - 2020,School Nutrition Programs,139,Salem City Public Schools,10/01/2019,1. Breakfast,6,"3,944",22,"10,803","2,123","4,337","17,263",,"3,777"
2019 - 2020,School Nutrition Programs,139,Salem City Public Schools,10/01/2019,3. Lunch,6,"3,944",22,"20,485","3,812","21,453","45,750",,"3,777"
2019 - 2020,School Nutrition Programs,139,Salem City Public Schools,11/01/2019,1. Breakfast,6,"3,946",18,"9,044","1,692","3,555","14,291",,"3,779"
